;sheboon;black woman;
;sheboons;black women;
;sheboons';black women's;
;shiksa;non-Jewish woman;
;shiksas;non-Jewish women;
;shiksas';non-Jewish women's;
;spearchucker;black person;
;spearchuckers;black people;
;spearchuckers';black people's;
spicy;spic;Latinx;
;squaw;Native American woman;
;squaws;Native American women;
;squaws';Native American women's;
;wetback;Latinx;
;white-trash;working class;
;white trash;working class;
;whitey;white person;
;whiteys;white people;
;whiteys';white people's;
;whitie;white person;
;whities;white people;
;whities';white people's;
;wog;person of color;
;wog's;of a person of color;
;wogs;people of color;
;wogs';of people of color;
;wop;Italian;
;wop's;Italian's;
;wops;Italians;
;wops';Italians';
;yenta;Jewish woman;
;yentas;Jewish women;
;yentas';Jewish women's;
;Alabama wind chime;;
;albo;Albanian-American person;
;albo's;Albanian-American person's;
;albos;Albanian-American people;
;albos';Albanian-American people's;
;Americunt;American;
;anchor baby;child refugee;
;anchor babies;child refugees;
;antinigger;racist;
;antiniggers;racists;
;antiniggers';racists';
;blackboy;young black man;
;blackboys;young black men;
;blackboys';young black men's;
;blackfellow;black person;
;blackfellows;black people;
;blackfellows';black people's;
;bud-bud-ding-ding;Asian person;
;bud-bud-ding-dings;Asian people;
;bud-bud-ding-dings';Asian people's;
;chickenlips;white person;
;chigger;mixed race person;
;chiggers;mixed race people;
;chiggers';mixed race people's;
;Chinaboy;Asian person;
;Chinaboys;Asian people;
;Chinaboys';Asian people's;
;Chinaman;Asian person;
;Chinamen;Asian people;
;Chinaperson;Asian person;
;Chinapeople;Asian people;
;Chinawoman;Asian person;
;Chinawomen;Asian people;
;Chinee;Asian person;
;Chinees;Asian people;
;Chinees';Asian people's;
;Chinese virus;COVID-19;
;Chinese viruses;COVID-19;
;Chinkland;Asia;
;Chinkland's;Asian;
;chinky;Asian person;
;chinkies;Asian people;
;chinkies';Asian people's;
;chocolate face;black person;
;chocolate faces;black people;
;chocolate faces';black people's;
;colored person;person of color;
;colored person's;of a person of color;
;colored people;people of color;
;colored peoples;of people of color;
;coloured person;person of color;
;coloured person's;of a person of color;
;coloured people;people of color;
;coloured peoples';of people of color;
;coonass;person of color;
;coonass's;of a person of color;
;coonasses;people of color;
;coonasses';of people of color;
;cracker-ass;white person;
;cracker-asses;white people;
;crackerass;white person;
;crackerasses;white people;
;crackerasses';white people's;
;cumskin;white person;
;cumskins;white people;
;cumskins';white people's;
;deniggerization;;
;deniggerize;;
;dindu nuffin;;
;dune coon;Middle Eastern person;
;dune coons;Middle Eastern people;
;dune coons';Middle Eastern people's;
;durka durka;Middle Eastern person;
;durka durkas;Middle Eastern people;
;Fakestine;Palestine;
;Fakestinian;Palestinian;
;farm nigger;;
;farm niggers;;
;farm niggers';;
;frogeater;French person;
;frogeaters;French people;
;frogeaters';French people's;
;ginzo;Italian person;
;ginzos;Italian people;
;ginzos';Italian people's;
;gippo;Romani person;
;gippos;Romani people;
;gippos';Romani people's;
;goffal;mixed race person;
;goffals;mixed race people;
;goffals';mixed race people's;
;goffel;mixed race person;
;goffels;mixed race people;
;goffels';mixed race people's;
;gook;Southeast Asian person;
;gook's;Southeast Asian person's;
;gooks;Southeast Asian people;
;gooks';Southeast Asian people's;
;gookland;Asian country;
;gooklands;Asian countries;
;gypsy cab;illegal taxi;
;gybsy cabs;illegal taxies;
;Halfrican;mixed race;
;Halfrican's;mixed race person's;
;Halfircans;mixed race people;
;Halfricans';mixed race people's;
;honest injun;honestly;
;Hottentot;Khoekhoe;
;illegal alien;undocumented immigrant;
;illegal immigrant;undocumented immigrant;
;injun;indigenous;
;injun's;indigenous person's;
;injuns;indigenous people;
;injuns';indigenous people's;
;Israhell;Israel;
;Israhelli;Israeli person;
;Israhellis;Israeli people;
;Israhellis';Israeli people's;
;Kraut;German;
;Kraut's;German person's;
;Krauts;German people;
;Krauts';German people's;
;Krautwagon;German car;
;kuff;non Muslim person;
;kuff's;non Muslim person's;
;kuffs;non Muslim people;
;kuffs';non Muslim people's;
;Kung Flu;COVID-19;
;Lapp;Sami;
;Lapp's;Sami person's;
;Lapps;Sami people;
;Lapps';Sami people's;
;Leb;Lebanese person;
;Lebs;Lebanese people;
;Leb's;Lebanese person's;
;Lebs';Lebanese people's;
;Lebo;Lebanese person;
;Lebo's;Lebanese person's;
;Lebos;Lebanese people;
;Lebos';Lebanese people's;
;Mexcrement;Mexican;
;Mississippi wind chime;;
;mulattress;mixed-race woman;
;mulattresses;mixed-race women;
;mulattresses';mixed-race women's;
;negress;black woman;
;negresses;black women;
;negresses';black women's;
;Negro;black person;
;Negros;black people;
;Negroes;black people;
;Negros';black people's;
;Negroes';black people's;
;negrophile;not racist;
;negrophile's;not racist person's;
;negrophiles;not racist people;
;negrophiles';not racist people's;
;negrophilia;anti-racism;
;negrophilism;anti-racism;
;Nep;Nepali person;
;Nep's;Nepali person's;
;Neps;Nepali people;
;Neps';Nepali people's;
;nig;black person;
;nig's;black person's;
;nigs;black people;
;nigs';black people's;
;niggah;black person;
;niggahs;black people;
;niggahs';black people's;
;nigger in the woodpile;;
;nigger knocker;;
;nigger lover;not racist;
;nigger lover's;not racist person's;
;nigger lovers;not racist;
